fight_key,event,event_date,bout,winner,clean_actual_method,base_KO,base_SUB,base_DEC,knockdown_interaction,ground_strike_interaction,submission_attempt_interaction,td_access_interaction,control_interaction,offensive_wrestling_exposure_interaction,winner_round3_retention,opponent_round3_retention,winner_log_ufc_bouts,opponent_log_ufc_bouts
2026-08-15|Chidi Njokuani vs. Joel Alvarez,UFC 330: Makhachev vs. Machado Garry,2026-08-15T00:00:00+00:00,Chidi Njokuani vs. Joel Alvarez,Chidi Njokuani,DEC,0.425650278415824,0.09070974588608396,0.48363997569809203,0.5341246290801187,52.03222104025531,0.20953474049605283,0.0,0.19470338851252575,2.2020043670567158,1.2603301886792453,0.8620766488413549,2.3978952727983707,2.4849066497880004
2026-08-15|Donte Johnson vs. Eric McConico,UFC 330: Makhachev vs. Machado Garry,2026-08-15T00:00:00+00:00,Donte Johnson vs. Eric McConico,Donte Johnson,KO,0.3884804035875136,0.17310247538120477,0.4384171210312816,0.0,10.153539124231859,0.9230490112938053,0.6520864081577887,0.4106046590898158,0.0,,2.2595169873106835,1.0986122886681096,1.6094379124341003
2026-08-15|Edson Barboza vs. Esteban Ribovics,UFC 330: Makhachev vs. Machado Garry,2026-08-15T00:00:00+00:00,Edson Barboza vs. Esteban Ribovics,Esteban Ribovics,KO,0.3327924868769565,0.06787617403809862,0.5993313390849448,0.4776611447234114,51.254165424228866,0.2250035796547786,0.09509721048182586,0.039412767278329576,0.19043609788746088,2.7146777777777777,0.8694845436582457,2.0794415416798357,3.4965075614664802
2026-08-15|Islam Makhachev vs. Ian Machado Garry,UFC 330: Makhachev vs. Machado Garry,2026-08-15T00:00:00+00:00,Islam Makhachev vs. Ian Machado Garry,Islam Makhachev,DEC,0.2701945963667346,0.300509689701,0.4292957139322654,0.3305915593803102,31.204542883673287,0.9835238735709483,0.6203765971755211,0.6078895163574833,3.315984372261385,1.0957334848329623,1.7086937316182715,2.9444389791664403,2.4849066497880004
2026-08-15|Jalin Turner vs. Kaue Fernandes,UFC 330: Makhachev vs. Machado Garry,2026-08-15T00:00:00+00:00,Jalin Turner vs. Kaue Fernandes,Jalin Turner,KO,0.3694200988555491,0.23093923816470396,0.3996406629797469,1.4283195203667785,35.14190861920782,1.1109151825074943,0.1464943097812081,0.1759429604009779,0.6348086757185681,0.6308809780654442,0.5838709677419355,2.70805020110221,1.6094379124341003
2026-08-15|Jeremiah Wells vs. Myktybek Orolbai,UFC 330: Makhachev vs. Machado Garry,2026-08-15T00:00:00+00:00,Jeremiah Wells vs. Myktybek Orolbai,Jeremiah Wells,SUB,0.2434357747282669,0.16837071845523752,0.5881935068164956,0.5444230909039185,110.21829473364795,1.3132295719844358,1.8385214007782102,0.5793524609077432,5.208823929170868,0.9267326732673267,0.752125,2.0794415416798357,1.9459101490553132
2026-08-15|Mackenzie Dern vs. Gillian Robertson,UFC 330: Makhachev vs. Machado Garry,2026-08-15T00:00:00+00:00,Mackenzie Dern vs. Gillian Robertson,Mackenzie Dern,DEC,0.12685435837809372,0.2620204349056464,0.6111252067162598,0.1322945759223872,91.27717119530304,1.4427476270083097,0.565926797001323,0.3217441517101189,7.675968336145675,1.0033338643775538,1.1713099895048185,2.833213344056216,3.044522437723423
2026-08-15|Mansur Abdul-Malik vs. Dustin Stoltzfus,UFC 330: Makhachev vs. Machado Garry,2026-08-15T00:00:00+00:00,Mansur Abdul-Malik vs. Dustin Stoltzfus,Dustin Stoltzfus,SUB,0.412102650184876,0.1476474952373614,0.44024985457776256,0.624157911703684,9.362368675555262,1.012861736334405,0.20257234726688095,0.320084270823862,5.709668620173748,0.6853278089203023,,2.3978952727983707,1.6094379124341003
2026-08-15|Neil Magny vs. Ramiz Brahimaj,UFC 330: Makhachev vs. Machado Garry,2026-08-15T00:00:00+00:00,Neil Magny vs. Ramiz Brahimaj,Neil Magny,KO,0.35719378704825144,0.1710201766151756,0.471786036336573,0.08125872241296021,31.03450449980788,0.32503488965184085,1.1961048720248253,0.30197518976068377,8.527895004196502,2.050077687593802,0.46104433201207395,3.6375861597263857,2.302585092994046
2026-08-15|Rafael Tobias vs. Lucas Fernando,UFC 330: Makhachev vs. Machado Garry,2026-08-15T00:00:00+00:00,Rafael Tobias vs. Lucas Fernando,Lucas Fernando,KO,0.427011699399888,0.1465191929956164,0.42646910760449563,,,,,,,,,0.0,0.6931471805599453
2026-08-15|Vicente Luque vs. Tresean Gore,UFC 330: Makhachev vs. Machado Garry,2026-08-15T00:00:00+00:00,Vicente Luque vs. Tresean Gore,Tresean Gore,DEC,0.3569082303510153,0.2947671747823901,0.3483245948665945,0.0,19.793976688135146,1.2591672602597144,0.7711091119393393,0.17252975750449834,1.2170682105042263,1.2590792107520732,1.0159710148243046,2.0794415416798357,3.258096538021482
2026-08-22|Anthony Hernandez vs. Gregory Rodrigues,UFC Fight Night: Hernandez vs. Rodrigues,2026-08-22T00:00:00+00:00,Anthony Hernandez vs. Gregory Rodrigues,Gregory Rodrigues,DEC,0.6312987190090831,0.07712089297761514,0.2915803880133018,1.257621652418674,15.215732292807358,0.5986247703376918,0.6155710153990462,0.20822994718093601,9.198122453459895,1.1749839228295822,1.3355914522147059,2.639057329615259,2.5649493574615367
2026-08-22|Anthony Wint vs. Terrance Chatman,UFC Fight Night: Hernandez vs. Rodrigues,2026-08-22T00:00:00+00:00,Anthony Wint vs. Terrance Chatman,Anthony Wint,SUB,0.5048305139474591,0.13704265294687226,0.3581268331056686,,,,,,,,,0.0,0.0
2026-08-22|Carli Judice vs. Jeisla Chaves,UFC Fight Night: Hernandez vs. Rodrigues,2026-08-22T00:00:00+00:00,Carli Judice vs. Jeisla Chaves,Carli Judice,KO,0.29218317588558573,0.06039008505200243,0.6474267390624118,0.6949806949806949,22.934362934362934,0.0,0.34749034749034746,0.0993899613899614,1.3899613899613898,1.3746803069053708,,1.6094379124341003,0.6931471805599453
