fighter,prior_bouts,win_rate,finish_win_rate,ko_win_rate,sub_win_rate,ko_loss_rate,sub_loss_rate,kd_for_per15,kd_against_per15,sig_landed_per_min,sig_absorbed_per_min,sig_accuracy,sig_defense,ground_for_per15,ground_against_per15,td_landed_per15,td_attempts_per15,td_accuracy,td_defense,sub_att_per15,sub_att_against_per15,ctrl_for_per15,ctrl_against_per15,r3_retention,recent5_win_rate,recent5_finish_rate,recent5_sig_diff_per_min,recent5_kd_for_per15,recent5_td_landed_per15,recent5_sub_att_per15,days_since_last,age_years,height_inches,reach_inches
Robelis Despaigne,4.0,0.5,0.25,0.25,0.0,0.0,0.0,0.33112582781456956,0.0,2.075055187637969,2.384105960264901,0.5340909090909091,0.49056603773584906,2.6490066225165565,17.549668874172188,0.6622516556291391,0.6622516556291391,1.0,0.6111111111111112,0.0,0.33112582781456956,108.94039735099338,511.58940397350995,0.9562499999999999,0.5,0.25,-0.3090507726269316,0.33112582781456956,0.6622516556291391,0.0,1.0,38.02952832707037,79.0,84.0
Marlon Vera,27.0,0.5925925925925926,0.4444444444444444,0.2962962962962963,0.14814814814814814,0.0,0.0,0.6562457275668778,0.041015357972929864,4.2437223715991435,5.394886752039374,0.4793082149474985,0.49604086845466155,6.767534065533427,6.931595497425147,0.5742150116210182,1.2714760971608259,0.45161290322580644,0.7204301075268817,0.7382764435127376,0.0,80.96431663856356,161.02629540172265,1.9397522347000007,0.2,0.2,-2.4258431531897604,0.7314099959366112,0.5485574969524584,0.0,1.0,33.79946200127313,68.0,70.0
Charles Jourdain,17.0,0.5294117647058824,0.35294117647058826,0.11764705882352941,0.23529411764705882,0.11764705882352941,0.058823529411764705,0.5442764578833693,0.4665226781857451,5.639740820734342,4.30755939524838,0.5065176908752328,0.5551391862955033,5.365010799136069,3.4211663066954645,0.38876889848812096,1.8660907127429804,0.20833333333333334,0.3870967741935484,0.38876889848812096,0.38876889848812096,92.76025917926566,173.46868250539958,1.7632745299800279,0.6,0.4,1.172566371681416,0.33185840707964603,1.3274336283185841,0.6637168141592921,1.0,30.815143363655654,69.0,69.0
Alonzo Menifield,18.0,0.6666666666666666,0.3888888888888889,0.2777777777777778,0.1111111111111111,0.2222222222222222,0.0,0.5006675567423231,0.5006675567423231,3.865153538050734,4.138851802403204,0.5030408340573415,0.5055821371610845,4.806408544726302,1.3017356475300401,0.6008010680907877,1.9025367156208277,0.3157894736842105,0.8695652173913043,0.20026702269692923,0.0,203.67156208277703,143.09078771695596,1.243014492753623,0.8,0.2,-0.15779092702169625,0.591715976331361,0.2958579881656805,0.0,1.0,38.924823918355614,72.0,76.0
Iwo Baraniewski,4.0,0.75,0.75,0.75,0.0,0.0,0.0,3.2667876588021776,0.8166969147005444,5.716878402903811,5.00907441016334,0.5585106382978723,0.5947136563876652,17.15063520871143,0.0,0.8166969147005444,4.083484573502723,0.2,0.8333333333333334,0.0,0.0,237.65880217785843,147.005444646098,,0.75,0.75,0.7078039927404719,3.2667876588021776,0.8166969147005444,0.0,1.0,27.83356263304517,72.0,73.0
Gable Steveson,2.0,0.5,0.5,0.5,0.0,0.5,0.0,5.521472392638037,5.521472392638037,15.460122699386504,5.889570552147239,0.711864406779661,0.5897435897435898,5.521472392638037,11.042944785276074,0.0,5.521472392638037,0.0,,0.0,0.0,55.214723926380366,11.042944785276074,,0.5,0.5,9.570552147239264,5.521472392638037,0.0,0.0,1.0,26.30581052314558,71.0,74.0
Sean Sharaf,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.0,0.9221311475409837,0.0,7.5,14.87704918032787,0.4404332129963899,0.42654028436018954,9.221311475409836,0.0,0.9221311475409837,8.299180327868852,0.1111111111111111,,0.0,0.0,44.26229508196721,4.610655737704918,,0.3333333333333333,0.3333333333333333,-7.377049180327869,0.9221311475409837,0.9221311475409837,0.0,1.0,33.194384552728664,75.0,77.0
Patricio Pitbull,4.0,0.5,0.25,0.25,0.0,0.0,0.0,0.30949105914718017,0.30949105914718017,3.2806052269601103,4.889958734525447,0.5129032258064516,0.4989429175475687,4.023383768913343,10.832187070151306,1.856946354883081,4.023383768913343,0.46153846153846156,0.5,0.30949105914718017,0.0,71.8019257221458,97.79917469050895,0.540942760942761,0.5,0.25,-1.6093535075653371,0.30949105914718017,1.856946354883081,0.30949105914718017,1.0,,,
Dooho Choi,10.0,0.6,0.6,0.6,0.0,0.3,0.0,1.047242262043286,0.8377938096346288,5.389806841982779,5.389806841982779,0.5391061452513967,0.5578465063001146,6.70235047707703,6.074005119851059,1.4661391668606005,2.7228298813125438,0.5384615384615384,0.6470588235294117,0.6283453572259716,0.0,144.72888061438212,123.7840353735164,0.6785563488407799,0.6,0.6,0.3823088455772114,0.6746626686656672,2.0239880059970012,1.0119940029985006,1.0,35.447682019480204,70.0,70.0
Arman Tsarukyan,13.0,0.8461538461538461,0.46153846153846156,0.38461538461538464,0.07692307692307693,0.0,0.0,0.39452054794520547,0.0,3.7808219178082196,1.7687671232876712,0.4991319444444444,0.5494137353433836,17.35890410958904,2.16986301369863,3.254794520547945,9.36986301369863,0.3473684210526316,0.75,0.09863013698630137,0.5917808219178082,386.53150684931506,95.57260273972604,1.3714984240361454,1.0,0.8,3.0011632415664984,0.6979449398991857,3.1407522295463357,0.34897246994959286,1.0,29.941751028426317,67.0,72.0
Mauricio Ruffy,7.0,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.0,0.14285714285714285,0.14285714285714285,1.8493150684931505,0.3082191780821918,3.6780821917808217,3.5342465753424657,0.5646687697160884,0.5943396226415094,7.089041095890411,1.5410958904109588,0.0,0.3082191780821918,0.0,0.8666666666666667,0.0,0.3082191780821918,37.29452054794521,165.82191780821918,,0.6,0.6,0.6559263521288837,2.0713463751438437,0.0,0.0,1.0,30.259348241236985,71.0,75.0
Joshua Van,11.0,0.9090909090909091,0.2727272727272727,0.2727272727272727,0.0,0.09090909090909091,0.0,0.7042253521126761,0.08802816901408451,8.268779342723004,5.809859154929577,0.5762781186094069,0.5708712613784135,6.161971830985915,1.4964788732394365,0.7042253521126761,1.1443661971830985,0.6153846153846154,0.75,0.2640845070422535,0.08802816901408451,68.04577464788731,166.81338028169014,2.272757897384532,1.0,0.4,1.9326339039204858,1.1595803423522917,0.16565433462175594,0.49696300386526787,1.0,24.945070740672293,65.0,65.0
Alexandre Pantoja,18.0,0.7777777777777778,0.4444444444444444,0.1111111111111111,0.3333333333333333,0.0,0.0,0.2506789220806351,0.12533946104031754,4.520576561520786,4.228117819093378,0.5048996733551097,0.4841997961264016,5.640275746814289,3.8228535617296844,2.8201378734071443,6.3923125130561935,0.4411764705882353,0.6923076923076923,0.8773762272822226,0.06266973052015877,295.1117610194276,97.51410068936704,0.8807590752556481,0.8,0.4,-0.18085106382978725,0.0,4.468085106382979,0.6382978723404256,1.0,36.43059063498908,65.0,67.0
