fight_key,event,event_date,bout,winner,clean_actual_method,base_KO,base_SUB,base_DEC,knockdown_interaction,ground_strike_interaction,submission_attempt_interaction,td_access_interaction,control_interaction,offensive_wrestling_exposure_interaction,winner_round3_retention,opponent_round3_retention,winner_log_ufc_bouts,opponent_log_ufc_bouts
2026-08-08|Miles Johns vs. Gianni Vazquez,UFC Fight Night: Gamrot vs. Salkilld,2026-08-08T00:00:00+00:00,Miles Johns vs. Gianni Vazquez,Miles Johns,KO,0.16550448614937702,0.025803441413813653,0.8086920724368093,0.4230814431778117,7.9327770595839695,0.0,0.3569749676812786,0.20369021036549537,10.788576801034198,1.4925373134328361,,2.4849066497880004,0.6931471805599453
2026-08-08|Steven Asplund vs. Guilherme Pat,UFC Fight Night: Gamrot vs. Salkilld,2026-08-08T00:00:00+00:00,Steven Asplund vs. Guilherme Pat,Steven Asplund,DEC,0.7286386242819384,0.020511117459198373,0.2508502582588632,0.9447165850244926,10.076976906927921,0.0,0.0,0.016275950548168883,,,0.9062499999999999,1.0986122886681096,1.0986122886681096
2026-08-15|Charles Johnson vs. Eduardo Chapolin,UFC 330: Makhachev vs. Machado Garry,2026-08-15T00:00:00+00:00,Charles Johnson vs. Eduardo Chapolin,Charles Johnson,SUB,0.33199774887366557,0.16295170484358315,0.5050505462827513,,,,,,,1.6353232291988866,,2.772588722239781,0.0
2026-08-15|Chidi Njokuani vs. Joel Alvarez,UFC 330: Makhachev vs. Machado Garry,2026-08-15T00:00:00+00:00,Chidi Njokuani vs. Joel Alvarez,Chidi Njokuani,DEC,0.42559490429877567,0.09069794519850473,0.4837071505027196,0.5341246290801187,52.03222104025531,0.20953474049605283,0.0,0.19470338851252575,2.2020043670567158,1.2603301886792453,0.8620766488413549,2.3978952727983707,2.4849066497880004
2026-08-15|Donte Johnson vs. Eric McConico,UFC 330: Makhachev vs. Machado Garry,2026-08-15T00:00:00+00:00,Donte Johnson vs. Eric McConico,Donte Johnson,KO,0.3885988020652966,0.1731552324131571,0.43824596552154627,0.0,10.153539124231859,0.9230490112938053,0.6520864081577887,0.4106046590898158,0.0,,2.2595169873106835,1.0986122886681096,1.6094379124341003
2026-08-15|Edson Barboza vs. Esteban Ribovics,UFC 330: Makhachev vs. Machado Garry,2026-08-15T00:00:00+00:00,Edson Barboza vs. Esteban Ribovics,Esteban Ribovics,KO,0.3332304751825217,0.06796550588763516,0.5988040189298431,0.4776611447234114,51.254165424228866,0.2250035796547786,0.09509721048182586,0.039412767278329576,0.19043609788746088,2.7146777777777777,0.8694845436582457,2.0794415416798357,3.4965075614664802
2026-08-15|Islam Makhachev vs. Ian Machado Garry,UFC 330: Makhachev vs. Machado Garry,2026-08-15T00:00:00+00:00,Islam Makhachev vs. Ian Machado Garry,Islam Makhachev,DEC,0.2700790266364081,0.3003811533677366,0.42953981999585533,0.3305915593803102,31.204542883673287,0.9835238735709483,0.6203765971755211,0.6078895163574833,3.315984372261385,1.0957334848329623,1.7086937316182715,2.9444389791664403,2.4849066497880004
2026-08-15|Jalin Turner vs. Kaue Fernandes,UFC 330: Makhachev vs. Machado Garry,2026-08-15T00:00:00+00:00,Jalin Turner vs. Kaue Fernandes,Jalin Turner,KO,0.3693930427548024,0.23092232437825197,0.39968463286694567,1.4283195203667785,35.14190861920782,1.1109151825074943,0.1464943097812081,0.1759429604009779,0.6348086757185681,0.6308809780654442,0.5838709677419355,2.70805020110221,1.6094379124341003
2026-08-15|Jeremiah Wells vs. Myktybek Orolbai,UFC 330: Makhachev vs. Machado Garry,2026-08-15T00:00:00+00:00,Jeremiah Wells vs. Myktybek Orolbai,Jeremiah Wells,SUB,0.24336584443813636,0.16832235165626053,0.5883118039056031,0.5444230909039185,110.21829473364795,1.3132295719844358,1.8385214007782102,0.5793524609077432,5.208823929170868,0.9267326732673267,0.752125,2.0794415416798357,1.9459101490553132
2026-08-15|Mackenzie Dern vs. Gillian Robertson,UFC 330: Makhachev vs. Machado Garry,2026-08-15T00:00:00+00:00,Mackenzie Dern vs. Gillian Robertson,Mackenzie Dern,DEC,0.126827456688301,0.26196486891185655,0.6112076743998425,0.1322945759223872,91.27717119530304,1.4427476270083097,0.565926797001323,0.3217441517101189,7.675968336145675,1.0033338643775538,1.1713099895048185,2.833213344056216,3.044522437723423
2026-08-15|Mansur Abdul-Malik vs. Dustin Stoltzfus,UFC 330: Makhachev vs. Machado Garry,2026-08-15T00:00:00+00:00,Mansur Abdul-Malik vs. Dustin Stoltzfus,Dustin Stoltzfus,SUB,0.4119550586638603,0.14759461639478286,0.44045032494135683,0.624157911703684,9.362368675555262,1.012861736334405,0.20257234726688095,0.320084270823862,5.709668620173748,0.6853278089203023,,2.3978952727983707,1.6094379124341003
2026-08-15|Neil Magny vs. Ramiz Brahimaj,UFC 330: Makhachev vs. Machado Garry,2026-08-15T00:00:00+00:00,Neil Magny vs. Ramiz Brahimaj,Neil Magny,KO,0.35710064483685716,0.17097558126704795,0.47192377389609486,0.08125872241296021,31.03450449980788,0.32503488965184085,1.1961048720248253,0.30197518976068377,8.527895004196502,2.050077687593802,0.46104433201207395,3.6375861597263857,2.302585092994046
2026-08-15|Rafael Tobias vs. Lucas Fernando,UFC 330: Makhachev vs. Machado Garry,2026-08-15T00:00:00+00:00,Rafael Tobias vs. Lucas Fernando,Lucas Fernando,KO,0.42666723232018194,0.14640099706576631,0.42693177061405174,,,,,,,,,0.0,0.6931471805599453
2026-08-15|Vicente Luque vs. Tresean Gore,UFC 330: Makhachev vs. Machado Garry,2026-08-15T00:00:00+00:00,Vicente Luque vs. Tresean Gore,Tresean Gore,DEC,0.356852128481388,0.2947208407704548,0.34842703074815734,0.0,19.793976688135146,1.2591672602597144,0.7711091119393393,0.17252975750449834,1.2170682105042263,1.2590792107520732,1.0159710148243046,2.0794415416798357,3.258096538021482
2026-08-22|Anthony Hernandez vs. Gregory Rodrigues,UFC Fight Night: Hernandez vs. Rodrigues,2026-08-22T00:00:00+00:00,Anthony Hernandez vs. Gregory Rodrigues,Gregory Rodrigues,DEC,0.631335411613109,0.07712537554544535,0.29153921284144574,1.257621652418674,15.215732292807358,0.5986247703376918,0.6155710153990462,0.20822994718093601,9.198122453459895,1.1749839228295822,1.3355914522147059,2.639057329615259,2.5649493574615367
2026-08-22|Anthony Wint vs. Terrance Chatman,UFC Fight Night: Hernandez vs. Rodrigues,2026-08-22T00:00:00+00:00,Anthony Wint vs. Terrance Chatman,Anthony Wint,SUB,0.5048321699896599,0.13704310335313505,0.3581247266572052,,,,,,,,,0.0,0.0
2026-08-22|Carli Judice vs. Jeisla Chaves,UFC Fight Night: Hernandez vs. Rodrigues,2026-08-22T00:00:00+00:00,Carli Judice vs. Jeisla Chaves,Carli Judice,KO,0.2926875154459699,0.06049432478483619,0.646818159769194,0.6949806949806949,22.934362934362934,0.0,0.34749034749034746,0.0993899613899614,1.3899613899613898,1.3746803069053708,,1.6094379124341003,0.6931471805599453
2026-08-22|Chris Padilla vs. Nasrat Haqparast,UFC Fight Night: Hernandez vs. Rodrigues,2026-08-22T00:00:00+00:00,Chris Padilla vs. Nasrat Haqparast,Chris Padilla,SUB,0.3630443439285447,0.11875073335284166,0.5182049227186136,0.0,16.420627696204534,0.4252087703328452,0.16456247279059644,0.2425114774211422,2.7427078798432736,,1.7437339841366686,1.6094379124341003,2.772588722239781
2026-08-22|Gauge Young vs. Stan Dorsainvil,UFC Fight Night: Hernandez vs. Rodrigues,2026-08-22T00:00:00+00:00,Gauge Young vs. Stan Dorsainvil,Stan Dorsainvil,DEC,0.4119248354302205,0.23274153914797213,0.35533362542180735,,,,,,,,2.3114754098360653,0.0,1.3862943611198906
2026-08-22|Jamall Emmers vs. Lerryan Douglas,UFC Fight Night: Hernandez vs. Rodrigues,2026-08-22T00:00:00+00:00,Jamall Emmers vs. Lerryan Douglas,Jamall Emmers,KO,0.2872588063233201,0.13692994657499213,0.5758112471016877,0.5201309959545367,6.414948950105952,0.3467539973030245,,0.3184276144247492,2.427277981121171,0.458882005899705,,2.302585092994046,0.6931471805599453
2026-08-22|Kennedy Nzechukwu vs. Shamil Gaziev,UFC Fight Night: Hernandez vs. Rodrigues,2026-08-22T00:00:00+00:00,Kennedy Nzechukwu vs. Shamil Gaziev,Shamil Gaziev,KO,0.5322325432193281,0.0728795941841504,0.39488786259652153,0.3816731828552478,6.324269370084856,0.0,0.20424566214363385,0.48529048488850285,2.7731440885244445,0.1772852233676976,1.8976985425946957,1.9459101490553132,2.70805020110221
2026-08-22|MarQuel Mederos vs. Mason Jones,UFC Fight Night: Hernandez vs. Rodrigues,2026-08-22T00:00:00+00:00,MarQuel Mederos vs. Mason Jones,MarQuel Mederos,KO,0.25459196271174994,0.09325849937760144,0.6521495379106486,0.4533813525410164,21.473389355742302,0.0,0.0,0.16023476057089503,2.3601440576230495,1.0454545454545452,1.0307692307692309,1.3862943611198906,1.9459101490553132
